newsID,title,label,sentenceNo,sentenceContent,sentenceSize
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,1,롯데칠성음료가 75주년을 맞아 ‘칠성사이다’의 패키지를 새롭게 선보였다.기존 맛은 유지하면서 브랜드 상징인 별을 강조해 정체성을 강화했다.,77
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,2,사진제공 ｜롯데칠성음료 롯데칠성음료가 창립 75주년을 기념해 대표 탄산음료 ‘칠성사이다’의 패키지를 새롭게 선보였다.,65
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,3,패키지 리뉴얼은 2000년 이후 24년 만인 2024년 11월에 진행됐다.,41
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,4,제품의 고유한 맛은 그대로 유지하면서 브랜드의 상징인 별을 더욱 강조한 디자인이 특징이다.,50
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,5,"기존보다 커진 별을 제품 중앙에 배치해 브랜드 아이덴티티를 강화했으며, 볼드하고 현대적인 폰트를 적용해 가독성을 높였다.",67
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,6,●375억 캔 판매 돌파 1950년 출시 이후 70년 넘게 사랑받아온 칠성사이다는 2024년 10월까지 250ml 캔 기준 누적 판매량 375억 캔을 기록했다.,89
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,7,"이는 1초당 16캔이 판매된 것으로, 제품을 일렬로 세우면 지구를 127바퀴 돌 수 있는 길이에 해당한다.",59
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,8,대한민국 국민 1인당 평균 730캔씩 마신 셈이 될 정도로 국민적 사랑을 받아온 대표 탄산음료다.,54
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,9,"칠성사이다의 이름은 창업주 7명의 성씨가 달랐던 점에서 착안해 ‘칠성(七姓)’을 고려했으나, 기업의 지속적인 번영을 기원하는 의미로 ‘칠성(七星)’이라는 이름을 최종 선택했다.",98
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,10,●문화 아이콘으로 자리잡다 칠성사이다는 전쟁과 경제 위기 속에서도 변함없이 국민들에게 청량한 위로를 선사하며 세대를 초월한 사랑을 받아왔다.,78
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,11,"특히 ‘김밥과 삶은 계란, 칠성사이다’ 조합은 ‘소풍삼합’이라 불리며 중장년층에게 향수를 불러일으킨다.",57
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,12,"또한, 화채, 김장, 홈카페 레시피 등 다양한 생활 속 활용법으로 꾸준한 인기를 누리고 있다.",52
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,13,젊은 세대에게도 ‘칠성사이다’는 강한 존재감을 발휘한다.,31
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,14,‘답답한 상황이 속 시원하게 해결될 때’나 ‘하고 싶은 말을 시원하게 했을 때’ 쓰이는 ‘사이다’라는 표현은 칠성사이다가 시대와 문화를 잇는 상징적 브랜드로 자리 잡았음을 보여준다.,101
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,15,"●장수 브랜드의 비결 지속적 혁신 칠성사이다가 반세기 넘게 국민적인 사랑을 받는 이유는 변함없는 품질, 감성을 자극하는 스토리, 그리고 고유한 브랜드 정체성 덕분이다.",93
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,16,"천연 레몬라임향을 사용한 짜릿한 탄산이 특징이며, 깨끗한 물을 사용하기 위해 고도화된 수처리 공정을 거치는 등 품질 관리를 철저히 하고 있다.",79
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,17,"생산 공정 역시 최신화되어 더욱 안정적인 품질을 유지하고 있으며, 원재료 관리 및 유통 구조의 개선으로 소비자들에게 신선한 제품을 제공하고 있다.",81
LC_M09_2025-03-10_칠성 사이다_001,"칠성사이다, 75주년 맞아 새 패키지 공개…대한민국 대표 탄산음료의 변...",경제,18,"이 같은 노력은 국내외에서 인정받아, 칠성사이다는 2024년 ITI 국제식음료품평회에서 ‘국제 우수미각상’을 수상하기도 했다.",70
